LETTER | IPA       | ENGLISH EXAMPLE        | REDUNDANT
a      | ɑ         | father (a)             | 
b      | b         | boat   (b)             |
c      | ʃ, tʃ     | shake  (sh), itch (ch) |
d      | d         | dad    (d)             |
e      | ɛ, e, ɜ   | pet    (e)             |
f      | f         | father (f)             |
g      | g         | get    (g)             |
h      | h         | hat    (h)             |
i      | i         | keep   (ee)            |
j      | ʒ, dʒ     | azure  (z), jelly  (j) |
k      | k         | vocal  (c)             |
l      | l         | lemon  (l)             |
m      | m         | monster(m)             |
n      | n         | new    (n)             |
o      | ɔ, o      | open   (o)             |
p      | p         | open   (p)             |
q      | k         | vocal  (c)             | k
r      | r, ɹ, ɾ   | rest   (r)             |
s      | s, z      | super  (s), zoo (z)    |
t      | t         | state  (t)             |
u      | u         | moon   (oo)            |
v      | v         | very   (v)             |
w      | w         | war    (w)             |
x      | ks        | mix    (x)             | ks
y      | j         | yes    (y)             |
z      | z         | zoo    (z)             | s
